orig_row_rec,Wbname_fin,EMU_site_irn,Island,Shehia_cleaned,include,Year,month,niclo_by_site,Date_ed,month_survey_order,Visit,Shname,Wbtype,wbtype_fin,Wbtype2_ed,no_collected,Bul_pres_ed,Bglob,Bfor,Lym,Mel,Cleo,Pila,Lan,Cera,Neri,Thiara,Othsnail,tot_pres_all_genera,pres_non_bulinids,Infsnails,Infsnails_no,niclo_order,niclo_visit,Date_appl_ed,sprayed_but_no_bul,sprayed_when_Bul_presy,sprayed_when_Bul_presn,Sprayed_Steffi_ed,Sprayed_Steffi,HS8,HS10,PS,Barreldrip,NumberofHudsonsprayersused,Volumeofwatersprayedwithmachine,Nicl,N_Duration_min,N_Duration_new,Timeofapplicationhhmm,Numberofsprayers,Notesappl,M_Notesappl,monthly_precip
3078,Abdalla Said - Shuweni,384801,Unguja,KINYASINI,,2012,6,,18/06/2012,4,1,KINYASINI,RIVER,pond,temporary,7,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,,,,,0,1,0,0,0,0,0,0,,,,,,,0,,,14.5
3079,Abdalla Said - Shuweni,384801,Unguja,KINYASINI,,2012,8,,28/08/2012,6,2,KINYASINI,DAM,pond,temporary,44,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,0,,,29.8
3084,Abdalla Said - Shuweni,384801,Unguja,KINYASINI,,2014,7,,09/07/2014,24,7,KINYASINI,RIVER,pond,temporary,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,,,,,0,1,0,0,,,,,,,,,,,,,,48.4
2148,Biani,382627,Pemba,VITONGOJI,,2011,12,,15/12/2011,2,1,VITONGOJI,POND,zlarge pond,temporary,51,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,103.1
1,Bonde Dogo,382629,Pemba,FINYA,,2011,12,,21/12/2011,2,1,FINYA,STREAM,rice/stream,permanent,46,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,103.1
22,Bonde Kubwa,382630,Pemba,FINYA,,2011,12,,21/12/2011,2,1,FINYA,STREAM,stream,permanent,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,103.1
3583,Bondeni,498837,Unguja,WELEZO,,2016,12,,06/12/2016,51,6,WELEZO,STREAM,stream,permanent,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,182
2766,Chuini School A,498840,Unguja,CHUINI,,2011,11,,29/11/2011,1,1,CHUINI,POND,pond,temporary,221,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,399.2
2767,Chuini School A,498840,Unguja,CHUINI,,2012,6,,28/06/2012,4,2,CHUINI,LAKE,pond,temporary,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,0,,,14.5
2770,Chuini School A,498840,Unguja,CHUINI,,2014,1,,21/01/2014,19,5,CHUINI,DAM,pond,temporary,8,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,0.3
2773,Chuwini Vigaeni,384803,Unguja,CHUINI,,2011,11,,29/11/2011,1,1,CHUINI,POND,pond,temporary,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,399.2
3472,Daraja La Pili,498844,Unguja,MTOPEPO,,2015,4,,27/04/2015,33,3,MTOPEPO,RIVER,river,permanent,,1,0,1,0,0,0,1,0,0,0,0,1,3,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,134.3
3474,Daraja La Pili,498844,Unguja,MTOPEPO,,2016,3,,30/03/2016,44,5,MTOPEPO,RIVER,river,permanent,,1,0,1,0,0,0,0,0,0,0,0,1,2,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,No spraying,,225.5
3476,Daraja La Pili,498844,Unguja,MTOPEPO,,2016,12,,08/12/2016,51,7,MTOPEPO,RIVER,river,permanent,,1,0,1,0,0,0,0,0,0,0,0,1,2,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,182
3106,Darajani (Kinyasini),498845,Unguja,KINYASINI,,2014,7,,03/07/2014,24,1,KINYASINI,RIVER,stream,temporary,17,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,,,,,0,1,0,0,,,,,,,,,,,,,,48.4
1714,Darajani Kijito Songoro,382637,Pemba,PIKI,,2012,1,,04/01/2012,3,1,PIKI,STREAM,stream,temporary,140,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,22.2
3477,Darajani Mtopepo,498847,Unguja,MTOPEPO,,2014,8,,28/08/2014,25,1,MTOPEPO,STREAM,river,permanent,,1,0,1,0,0,0,1,0,0,0,0,0,2,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,44.8
3483,Darajani Mtopepo,498847,Unguja,MTOPEPO,,2016,12,,08/12/2016,51,7,MTOPEPO,RIVER,river,permanent,,1,0,1,0,0,0,0,0,0,0,0,1,2,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,182
2807,Eneyani,384804,Unguja,DONGE MCHANGANI,,2012,6,,19/06/2012,4,1,DONGE MCHANGANI,DAM,pond,temporary,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0,1,0,0,0,0,0,0,,,,,,,0,,,14.5
2916,Forodhani,384805,Unguja,JENDELE,,2011,11,,22/11/2011,1,1,JENDELE,DAM,pond,temporary,5,1,1,0,0,0,1,1,0,0,0,0,0,3,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,399.2
2917,Forodhani,384805,Unguja,JENDELE,,2012,6,,21/06/2012,4,2,JENDELE,LAKE,pond,temporary,6,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,,,,,0,1,0,0,0,0,0,0,,,,,,,0,,,14.5
2924,Forodhani,384805,Unguja,JENDELE,,2015,5,,18/05/2015,34,9,JENDELE,RICE PADDY,pond,temporary,,1,0,1,0,0,0,1,0,0,0,0,0,2,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,496.3
2009,Funga,382641,Pemba,SHUMBA VIAMBONI,,2012,8,,02/08/2012,6,1,SHUMBA VIAMBONI,RICE PADDY,stream,temporary,1,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,29.8
3117,Jengadega,384807,Unguja,KINYASINI,,2012,6,,18/06/2012,4,2,KINYASINI,LAKE,pond,permanent,6,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,,,,,0,1,0,0,0,0,0,0,,,,,,,0,,,14.5
3122,Jengadega,384807,Unguja,KINYASINI,,2014,7,,02/07/2014,24,7,KINYASINI,POND,pond,permanent,17,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,,,,,0,1,0,0,,,,,,,,,,,,,,48.4
3139,Kibokwa,384809,Unguja,KINYASINI,,2011,11,,16/11/2011,1,1,KINYASINI,POND,pond,temporary,,1,1,0,0,1,1,0,0,0,0,0,0,3,1,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,399.2
2608,Kichanga B,498857,Unguja,BANDAMAJI,,2014,6,,26/06/2014,23,1,BANDAMAJI,POND,stream,temporary,4,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,,,,,0,1,0,0,,,,,,,,,,,,,,22.5
2617,Kichanga C,498858,Unguja,BANDAMAJI,,2014,6,,26/06/2014,23,1,BANDAMAJI,POND,pond,permanent,57,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,,,,,0,1,0,0,,,,,,,,,,,,,,22.5
