orig_row_rec,temp_coll_data,comp_key_coll_data,Wbname_fin,EMU_site_irn,Island,Shehia_cleaned,WB.shehia_edited,include,Year,month,month_year,Date.new,Date_ed,month_survey_order,Visit,Shname,Wbname_orig,Wbname_ed,Wbtype,Wbtype_Fiona,Wbadapt_Steffi,wbtype_ed,wbtype_fin,georef_notes,Wbtype2,Wbtype2_Fiona,Wbtype2_Steffi,Wbtype2_ed,Ricecombined_Steffi,lat-long-edited,latitude,longitude,latitude.mean,longitude.mean,Lati_DD,Longi_DD,Lati_xls,Longi_xls,Lati_orig,Longi_orig,NotesGPS,site_dry,site_dry_ed,Village,time_sampling/time_in,time_sampling/time_out,time_in,time_out,mins_coll,ed_mins_coll,duration,M_time_note,snail_sp_coll_notesM,snail_sp_coll_ed,snail_sp_collected,no_collected,Bulinusspp_Steffi,Bul_pres_ed,Bglob,Bfor,Lym,Mel,Cleo,Pila,Lan,Cera,Neri,Thiara,Othsnail,tot_pres_other_snail,pres_non_bulinids,Notessnail,notes_snails_M,Infsnails,Infsnails_no,Dateshed_new,Dateshed,Notesshed,Numberofcollectors,C1,C2,Notescoll,Alti,W_chem_notes_M,TDS,Temp,PH,Cond,Sal,Oxy,Flow_m/s,Flow_ed,Depth_m,Depth_ed,Wlevel,Wlevel_ed,Seas,Season,mud,sand,gravel,rock,concrete,peat,roots,Notessub,cow,sheep,goat,pig,horse,donkey,camel,Monkey,Ungu,carnivore,waterbird,Othwildan,Noteswian,Lilies,rushes,rice,waterhyacinth,macrophyteweed,palmfronds,sedge,grass,Polygonum,none,Otherveg,Notesveg,Dishes,bathing,Clothes,Carbike,Collectingwater,fording,swimmingplaying,fishing,Ricecult,otherfarming,sanitation,ablution,Otheract,Noteswact,niclo_order,niclo_visit,Date_appl_ed,Date_appl_new,date_application,sprayed_but_no_bul,sprayed_when_Bul_pres,Sprayed_Steffi_ed,Sprayed_Steffi,HS8,HS10,PS,Barreldrip,NumberofHudsonsprayersused,Volumeofwatersprayedwithmachine,Nicl,N_Duration_min,N_Duration_new,N_Duration,Timeofapplicationhhmm,Numberofsprayers,Notesappl,M_Notesappl,monthly_precip,tot.2011_1st.year,tot.2011_9.12.year,tot.2011_Adult,inf.2011_1st.year,inf.2011_9.12.year,inf.2011_Adult,prev.2011_1st.year,prev.2011_9.12.year,prev.2011_Adult,tot.2012_1st.year,tot.2012_9.12.year,tot.2012_Adult,inf.2012_1st.year,inf.2012_9.12.year,inf.2012_Adult,prev.2012_1st.year,prev.2012_9.12.year,prev.2012_Adult,tot.2013_1st.year,tot.2013_9.12.year,tot.2013_Adult,inf.2013_1st.year,inf.2013_9.12.year,inf.2013_Adult,prev.2013_1st.year,prev.2013_9.12.year,prev.2013_Adult,tot.2014_1st.year,tot.2014_9.12.year,tot.2014_Adult,inf.2014_1st.year,inf.2014_9.12.year,inf.2014_Adult,prev.2014_1st.year,prev.2014_9.12.year,prev.2014_Adult,tot.2015_1st.year,tot.2015_9.12.year,tot.2015_Adult,inf.2015_1st.year,inf.2015_9.12.year,inf.2015_Adult,prev.2015_1st.year,prev.2015_9.12.year,prev.2015_Adult,tot.2016_1st.year,tot.2016_9.12.year,tot.2016_Adult,inf.2016_1st.year,inf.2016_9.12.year,inf.2016_Adult,prev.2016_1st.year,prev.2016_9.12.year,prev.2016_Adult,tot.2017_1st.year,tot.2017_9.12.year,tot.2017_Adult,inf.2017_1st.year,inf.2017_9.12.year,inf.2017_Adult,prev.2017_1st.year,prev.2017_9.12.year,prev.2017_Adult,TOT.ALL,INF.ALL,prev.2017.all,TOT.2017,INF.2017,prev.2016.all,TOT.2016,INF.2016,prev.2015.all,TOT.2015,INF.2015,prev.2014.all,TOT.2014,INF.2014,prev.2013.all,TOT.2013,INF.2013,prev.2012.all,TOT.2012,INF.2012
3593,,Kidarajani (Welezo)_06.12.2016,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2016,12,12_2016,06.12.2016,06/12/2016,51,10,WELEZO,KIDARAJANI,KIDARAJANI,STREAM,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.15357,39.23015,-6.153518148,39.22992963,-6.15357,39.23015,S 06 09. 214,039 13. 809,S-06°09.214,E-039°13.809,,,,YES,09:10,09:25,09:10:00,09:25:00,00:15:00,00:15:00,15,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,2,Kinole,Wahida,,,,0.0,30.1,7.7,514.0,0.0,256.0,<0.5m/s,1,<0.5,1,Low,2,High,Dry,0,1,0,0,0,0,0,,1,0,0,0,0,1,1,0,0,0,1,1,,0,1,0,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0,0,0,1,0,1,,,,,,,,,N,n,0,0,0,0,0,,,,,,,,,,,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3592,,Kidarajani (Welezo)_07.09.2016,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2016,9,9_2016,07.09.2016,07/09/2016,48,9,WELEZO,KIDARAJANI,KIDARAJANI,STREAM,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.1535,39.2299,-6.153518148,39.22992963,-6.1535,39.2299,S 06 09. 210,039 13. 794,S-06°09.210,E-039°13.794,,,,YES,10:25,10:45,10:25:00,10:45:00,00:20:00,00:20:00,20,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,2,Mtumweni,Kinole,,53,,0.0,33.3,8.0,424.0,0.0,215.0,0.5-1m/s,2,<0.5,1,Low,2,Low,Dry,1,0,0,0,0,0,0,,1,0,0,0,0,1,1,0,0,0,1,1,,0,0,0,0,0,1,0,1,0,0,1,,0,0,0,0,1,0,0,1,0,1,0,1,,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3591,,Kidarajani (Welezo)_17.03.2016,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2016,3,3_2016,17.03.2016,17/03/2016,44,8,WELEZO,KIDARAJA,KIDARAJANI,RIVER,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.15338,39.23008,-6.153518148,39.22992963,-6.15338,39.23008,S 06 09. 203,039 13. 805,06°09.203,039°13.805,,,,YES,10:20,10:35,10:20:00,10:35:00,00:15:00,00:15:00,15,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No snail found,,,,,,,2,Mtumweni,Wahida,,70,,0.0,31.0,7.2,445.0,0.0,221.0,<0.5m/s,1,0.5-1,2,Normal,3,Low,Rainy,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,1,,0,1,1,1,1,0,0,1,0,1,0,1,,,,,,,,,,n,0,0,0,0,0,,,,,,,,,No spraying,,225.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3590,,Kidarajani (Welezo)_04.11.2015,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2015,11,11_2015,04.11.2015,04/11/2015,40,7,WELEZO,KIDARAJANI,KIDARAJANI,RIVER,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.15357,39.23003,-6.153518148,39.22992963,-6.15357,39.23003,S 06 09. 214,039 13. 802,06°09.214,039°13.802,,,,YES,10:30,10:45,10:30:00,10:45:00,00:15:00,00:15:00,15,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,Kinole,Wahida,,44,,0.0,30.6,9.5,446.0,0.0,226.0,still,0,0.5-1,2,Low,2,High,Dry,1,0,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,1,1,,0,1,0,0,0,0,0,1,0,0,1,,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,274.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3589,,Kidarajani (Welezo)_06.05.2015,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2015,5,5_2015,06.05.2015,06/05/2015,34,6,WELEZO,WELEZO KIDARAJANI,KIDARAJANI,RIVER,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,y,,,-6.153518148,39.22992963,-6.16613,39.27777,S 06 09. 968,039 16. 666,06°09.968,039°16.666,,,,YES,10:05,10:20,10:05:00,10:20:00,00:15:00,00:15:00,15,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,Mtumweni,Wahida,,60,,0.0,28.5,7.8,261.0,0.0,229.0,0.5-1m/s,2,0.5-1,2,Normal,3,High,Rainy,1,0,0,0,0,0,1,,1,0,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,496.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3588,,Kidarajani (Welezo)_09.09.2014,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2014,9,9_2014,09.09.2014,09/09/2014,26,5,WELEZO,KIDARAJANI,KIDARAJANI,RIVER,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.15352,39.22993,-6.153518148,39.22992963,-6.15352,39.22993,S 06 09. 211,039 13. 796,06°09.211,039°13.796,,,,YES,10:40,10:55,10:40:00,10:55:00,00:15:00,00:15:00,15,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,3,Wahida,Kinole,,96,,0.0,26.0,10.7,513.0,0.0,254.0,<0.5m/s,1,0.5-1,2,Low,2,Low,Dry,1,0,0,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3587,,Kidarajani (Welezo)_09.09.2013,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2013,9,9_2013,09.09.2013,09/09/2013,16,4,WELEZO,WELEZO,KIDARAJANI,RIVER,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.15353,39.22982,-6.153518148,39.22992963,-6.15353,39.22982,S 06 09. 212,039 13. 789,S06°09.212,E039°13.789,SITE DRIED,y,y,YES,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Dry,1,Low,Dry,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3586,,Kidarajani (Welezo)_15.01.2013,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2013,1,1_2013,15.01.2013,15/01/2013,11,3,WELEZO,WELEZO,KIDARAJANI,DAM,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.15353,39.22982,-6.153518148,39.22992963,-6.15353,39.22982,S 06 09. 212,039 13. 789,06°09.212,039°13.789,,,,YES,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,High,Dry,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,n,0,0,0,0,0,,,,,,,,,,,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3585,,Kidarajani (Welezo)_28.06.2012,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2012,6,6_2012,28.06.2012,28/06/2012,4,2,WELEZO,WELEZO,KIDARAJANI,RIVER,spring,spring,stream,stream,,permanent,perm,permanent,permanent,0,,-6.15353,39.22982,-6.153518148,39.22992963,-6.15353,39.22982,S 06 09. 212,039 13. 789,06°09.212,039°13.789,,,,YES,9.45 am,9.55 am,10:48:00,13:12:00,02:24:00,00:10:00,10,mismatch time sampling/time in- error in excel transformation,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3,Haji,Juma Issa,,,,,27.9,9.1,330.0,0.0,230.0,Still,0,<0.5,1,Low,2,High,Dry,0,1,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,n,0,0,0,0,0,,,,,,,,0,,,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
3584,"collection: Bulinus forskalii, 7",Kidarajani (Welezo)_01.12.2011,Kidarajani (Welezo),498861,Unguja,WELEZO,y,,2011,12,12_2011,01.12.2011,01/12/2011,2,1,WELEZO,WELEZO,KIDARAJANI,STREAM,spring,spring,stream,stream,near bondeni,permanent,perm,permanent,permanent,0,,-6.153533333,39.22981667,-6.153518148,39.22992963,-6.153533333,39.22981667,-6.153533333,39.22981667,-6.153533333,39.22981667,,,,,15,,00:00:00,,,00:15:00,15,,mismatch snail sp collected noted and entry in Bulinussp_Steffi,,Bulinus sp. not present,,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,3,,,,,,141.0,32.0,8.1,284.0,,,<0.5m/s,1,<0.5,1,Low,2,High,Rainy,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,N,n,0,0,0,0,0,,,,,,,,,,,103.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,103,49,5,2,0,5.7,1.9,0,NA,107,48,NA,6,0,NA,5.6,0,NA,104,50,NA,3,0,NA,2.9,0,NA,118,50,NA,4,2,NA,3.4,4,NA,130,50,NA,1,0,NA,0.8,0,100,96,50,1,0,0,1,0,0,1154,19,0.680272109,246,1,0.555555556,180,1,3.571428571,180,1,1.948051948,154,3,3.870967742,155,6,2.928870293,239,7
