column,names,values,type,type2,key_fields_fin-for-model,source,analysis,relevant_terms,note,,,,,,,
1,orig_row_rec,793,integer,,,I added,,,,,,,,,,
2,temp_coll_data,NA,character,,,I added,,,snail and cerc voucher record- will remerge with collection ata,,,,,,,
3,comp_key_coll_data,Kilikoni_11.08.2013,character,,,I added,,,for merge w collection data,,,,,,,
4,Wbname_fin,Kilikoni (Ziwani),character,,,I added,,yes,final water body name,,,,,,,
5,EMU_site_irn,573391,integer,,yes,I added,yes,yes,NHM site code,,,,,,,
6,Island,Pemba,character,,yes,,yes,yes,,,,,,,,
7,Shehia_cleaned,ZIWANI,character,,yes,I added,yes,yes,,,,,,,,
8,WB.shehia_edited,y,character,,,I added,,,is shehia or wb - as in Wbname_ed or shehis _cleaned were edited,,,,,,,
9,include,NA,character,,,I added 2020,,yes,,,,,,,,
10,Year,2013,integer,,yes,,yes,yes,,,,,,,,
11,month,8,integer,,yes,,yes,yes,assoc with bulinus/snail presence/abundance,,,,,,,
12,month_year,8_2013,character,,,I added 2020,,,,,,,,,,
13,Date.new,11.08.2013,character,dd/mm/yyyy,,,,,clean date column,,,,,,,
14,Date_ed,11/08/2013,character,dd/mm/yyyy,yes,I added 2020,yes,yes,,,,,,,,
15,month_survey_order,15,integer,,,I added 2020,,,,,,,,,,
16,Visit,1,integer,,yes,,yes,yes,increase or decrease by visit,,,,,,,
17,Shname,KISIWANI,character,,,,,,shehia name,,,,,,,
18,Wbname_orig,KILIKONI,character,,,,,,these names as orig recorded,,,,,,,
19,Wbname_ed,KILIKONI,character,,,I added 2020,,yes,wb name edited by steffi,,,,,,,
20,Wbtype,"RICE PADDY, STREAM",character,,,,,,assoc with bulinus/snail presence/abundance,,,,,,,
21,Wbtype_Fiona,NA,character,,,,,,,,,,,,,
22,Wbadapt_Steffi,STREAM,character,,yes,,yes,yes,,,,,,,,
23,wbtype_ed,stream,character,,,,,,"clean column site type based on drone imagery and other classifications, more splits in category eg large pond, pond etc",,,,,,,
24,wbtype_fin,stream,character,,,,,,"clean column site type based on drone imagery and other classifications, few splits in category",,,,,,,
25,georef_notes,NA,character,,,I added 2020,,,,,,,,,,
26,Wbtype2,temporary,character,,,,,,analysis of this,,,,,,,
27,Wbtype2_Fiona,NA,character,,,,,,,,,,,,,
28,Wbtype2_Steffi,temporary,character,,,,,,,,,,,,,
29,Wbtype2_ed,temporary,character,,yes,I added 2020,yes,yes,,,,,,,,
30,Ricecombined_Steffi,1,integer,0/1,,,,,,,,,,,,
31,lat.long.edited,NA,character,,,I added 2020,,,,,,,,,,
32,latitude,-5.12395,numeric,,,I added 2020,,,clean latitude- some points still incorrect 1st jan 2020,,,,,,,
